relative_path,file_size_bytes,sha256,category,public_safety_reason
config/paths.R,225,81686546456791031ac8c015bef915dfa34dd36d819f3927ebcd33456c7716cb,code,"Publicly redistributable script or aggregate result"
docs/methodology.md,3522,2ba20577f3f58e89f8e61342bccc2e502ccf81216f85f88e0f9fb21bebaf33c5,documentation,"Publicly redistributable script or aggregate result"
docs/limitations.md,251,d2f5724747ea9b3ffb41fbf2c0de33f9ab81e0a2efaff213feea0a13fbdf72d9,documentation,"Publicly redistributable script or aggregate result"
metadata/software_versions.txt,15,9c6ce18000efbcf292d90f68771359abe563c4b5f162cd6d5cb7b26729e9a20b,data_or_output,"Publicly redistributable script or aggregate result"
outputs/figures/figure_error_counts.png,10239,6fcb0b686220d737648b381fe31eeb3cc11c5d6ac4b9085f74f2479f7dbef3d4,data_or_output,"Publicly redistributable script or aggregate result"
outputs/figures/figure_human_vs_llm_prevalence.png,16287,550ef38cfe5ad990901e07a90fca98312359b152334697109fadb71c98305510,data_or_output,"Publicly redistributable script or aggregate result"
outputs/figures/figure_llm_confusion_counts_benefit.png,12771,bc026cd8af91c9922642f1f973970ed9eca3b5919f7de5a9d26aaca5380b9907,data_or_output,"Publicly redistributable script or aggregate result"
outputs/figures/figure_llm_confusion_counts_threat.png,11898,7d6221e336fb01298386dbf5ea5e38cc5e2227fc542fd8c90766b3aaf5dc6fab,data_or_output,"Publicly redistributable script or aggregate result"
outputs/figures/figure_llm_precision_recall_f1.png,12884,ddc8cf8fce20dd8c3f754e86e81cdcc61956fbdccae42a64732d8a74fdd6c8fa,data_or_output,"Publicly redistributable script or aggregate result"
outputs/tables/table_1002_error_counts.csv,198,8fa95583a8b9c7854dd842ac69f07fc4ec216c95c182bbf66dffb1bae94d5f7d,data_or_output,"Publicly redistributable script or aggregate result"
outputs/tables/table_1002_human_consensus.csv,196,edfd912d7953edbce03b469e0b7995f6dc5e1453c1a3c73ee994df10031fdd0c,data_or_output,"Publicly redistributable script or aggregate result"
outputs/tables/table_1002_krippendorff_alpha.csv,143,084c42bc788d09e7a7e17fe19ee7550d8daef7a764cd98817b26f91784bd1f06,data_or_output,"Publicly redistributable script or aggregate result"
outputs/tables/table_1002_llm_performance.csv,505,c1c2e6221a19d598ffbabdc93ab1dffb4b8828771e9de9675762a835e3a41551,data_or_output,"Publicly redistributable script or aggregate result"
outputs/tables/table_1002_pairwise_reliability.csv,659,7b9b8ea67b2f81589b98c6114031ec050fe8b84caa1d50ad3a89ec7895f6ffa8,data_or_output,"Publicly redistributable script or aggregate result"
outputs/tables/table_1002_sampling_design.csv,194,42d165934c745f04aadb4a0a6c42281f0163fdf9dc8259f3ef149bc771153f52,data_or_output,"Publicly redistributable script or aggregate result"
outputs/tables/by_publication.csv,1725,c91b9ba89752809a0e5fc1c912829d53f71e45273cefeefaa622d89914c27060,data_or_output,"Publicly redistributable script or aggregate result"
outputs/metrics/llm_vs_human_metrics.csv,533,d565aadb17577fcfbc0ca72b1862d53441b087090ab5952c99ac3a5eebe39794,data_or_output,"Publicly redistributable script or aggregate result"
outputs/metrics/pairwise_confusion_tables.csv,444,ba31e4f6a7fe58bb0d629a9439b76dc389ce04e9c69a4671ae4a87f5b7e6077f,data_or_output,"Publicly redistributable script or aggregate result"
outputs/metrics/pairwise_reliability.csv,727,70cb5df7a25be066fd8e4b869f5c69ce89847c63f2bc4109446dd8afa96e665b,data_or_output,"Publicly redistributable script or aggregate result"
outputs/metrics/krippendorff_alpha.csv,140,7f735111f748a33a9adf233dfba39aca7f91ff81f1bb5dc5ce9ddd3c1d452caf,data_or_output,"Publicly redistributable script or aggregate result"
outputs/metrics/FINAL_1002_ANALYSIS_SUMMARY.json,6723,b88bafec6f17d2c992f7e9d666f6833feb77c49fcc30192a122f3e0a329c606f,data_or_output,"Publicly redistributable script or aggregate result"
references/bibliography.bib,166,ca2873db7cc5a480763d75e5f9f1b67cbce441c0eec374c58427f1e42b9fd95d,data_or_output,"Publicly redistributable script or aggregate result"
references/README.md,68,b2f7feeb758a9be5a3d0439ddef319f7d969834ac4ec92b20c61cebf7f7586be,documentation,"Publicly redistributable script or aggregate result"
reports/final_report/Economic_Framing_Annotation_Research_Report.pdf,1065889,dedef9e56caf28ecd9de4fe50259883c9913dde09e3b28e44caee88f7bfee677,data_or_output,"Publicly redistributable script or aggregate result"
scripts/00_check_environment.R,67,8fb1618460413809e995152d54e8a7c0ed91d75849b6e17cc9d2a7467adc71e2,code,"Publicly redistributable script or aggregate result"
scripts/01_prepare_data.R,75,cf52a389ca173ee05bee4486896e23a89d8e6c2fb42e65a1d5fe01c329e1170f,code,"Publicly redistributable script or aggregate result"
scripts/02_draw_pilot_sample.R,681,7b327d2effd031d1bc1f69ab7c575b399519616a30c772577de7d2ad31368fc4,code,"Publicly redistributable script or aggregate result"
scripts/03_run_zero_shot.R,5643,a32abb74e87c0796cd3460d4a299d60ec1d17076b09fa85648165e849d701f2d,code,"Publicly redistributable script or aggregate result"
scripts/04_detect_hard_cases.R,2925,74164493418167150325434f6f8181cd2a6d545dc67ff4480f248d6ec6d2e96c,code,"Publicly redistributable script or aggregate result"
scripts/05_run_prompt_iterations.R,6269,82a4215ffd5ac532afb5331d8fbe5f9f3103679f7cb1f8d60a21327ec4de88e7,code,"Publicly redistributable script or aggregate result"
scripts/06_run_production_annotation.R,9718,be7c2a8743831306213658ee81ce9bf20f6d9517aada0baf08372acd3121eacb,code,"Publicly redistributable script or aggregate result"
scripts/07_prepare_human_validation.R,10867,1dc8c20e7c023a39f2eb54e430f9b228dc79e8492963e3590a48c86e1bf77c5b,code,"Publicly redistributable script or aggregate result"
scripts/08_compute_human_reliability.R,5625,a0a4986ec6a087ca53843be1a2b81d751d2064165aaffd5588cbddef0e1536e1,code,"Publicly redistributable script or aggregate result"
scripts/09_compare_llm_with_humans.R,3619,c6061261b4473fa9f86c8c4b1f5bd2fe5c6766bafe011b61601dbc8f766dd11c,code,"Publicly redistributable script or aggregate result"
scripts/10_generate_results.R,5886,647c3f1cbfce3aa7971706678379bd84758f66243ae1adfe9258e1d73fd6641d,code,"Publicly redistributable script or aggregate result"
scripts/11_validate_final_package.R,63,f51d9c90a81e1bcdf859a316bd0a5426ce34a7c2824fe132eef9a06c8328a0ee,code,"Publicly redistributable script or aggregate result"
src/R/config.R,23689,de93405a1992df2434aed4fdf77c038ce64f1d79e3ae38e5fe88d9692482f9ab,code,"Publicly redistributable script or aggregate result"
src/R/utils_api.R,912,d03d905e6687dbe9ebe20eae3950cfe246a9b7c34e325473cace1f69c240df05,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_cleaning.R,125,9f9dbd03d798b55b0ffdd1eb58173ec1a66f6932115e99225c2c0fc1a09c3119,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_cleaning_new.R,1414,fae63c2a6948199019ba536afceec801690ea86423a7a2cae8a4b2c237389515,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_data_integrity.R,1931,448d93969730009fa4cedc36f74c9f16f9e249fcb09950e7780df0e139a41504,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_deliverables.R,2805,d60b6fcd3547ad98f9964e2486217638e316c2856e1c6589140af575acaa19f1,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_frame_derivation.R,673,59ff80e14c8f5b6a50786103ae729f4166fabd5ea7aa9289cc5b629eb6050d47,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_human_evaluation.R,3416,fc9b28a3b1639e1ec5c25ac3396f843a0873339dc9fa9d0c951c196e5862e9b7,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_missing_files.R,94,941f938b918bd15527a95c41a2474a800d58fe87737dd80cd31fe1bd97acc924,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_project_security.R,1356,383d819c95b45192738f0b8545033df216a7d89055458361abfb457f20f8533b,code,"Publicly redistributable script or aggregate result"
tests/testthat/test_required_files.R,1040,e2f15395002ce7d8fffb5330c35eb86cec72a8856980dda018b89045beaabc64,code,"Publicly redistributable script or aggregate result"
.Renviron.example,31,ceddaab24e7388a1483ad629edb30bd00d41abb9134578506122c84de3874214,data_or_output,"Publicly redistributable script or aggregate result"
.gitignore,876,291c7c3b58a6eec622b34483a8b67e6d375bb43fbbb99a8736e3e479bba6da73,data_or_output,"Publicly redistributable script or aggregate result"
CHANGELOG.md,13,2af260c9aeba9c652561fc9212c2d2cce994fb08cfe432adad964480c2741257,documentation,"Publicly redistributable script or aggregate result"
CITATION.cff,45,93d50002110b0253ee63098b4dfa433c7b507bdec8523a072ee6a5489af2a8a9,data_or_output,"Publicly redistributable script or aggregate result"
CONTRIBUTING.md,16,3f9bd2dfd847e4b70b3729980506370394c0660fe65591e48035aaccc1e72451,documentation,"Publicly redistributable script or aggregate result"
README.md,1087,c727e030a2438f2d2103ba12e0c337dcd9767dfd807b34682333dc4fbb528dbf,documentation,"Publicly redistributable script or aggregate result"
economic-framing-annotation.Rproj,14,53fdc05f90171e76165679354d307b4b9af252c7dee6edd8646ccebbae88515c,data_or_output,"Publicly redistributable script or aggregate result"
run_pipeline.R,499,fc9746eebcd27f8a126f2caccc9e85f04db945bf07f084410cf78a5b5581c1b3,code,"Publicly redistributable script or aggregate result"
reports/final_report/source/01_introduction.tex,5380,2344a00405f584612ef9eb6068c7e42b01dd1ff29e56974c03ad5745a46f60d5,documentation,"Publicly redistributable report source"
reports/final_report/source/02_literature.tex,4731,6865e1f00d551c4922dc7d28fa1b1ca089a306907719795657edf7af8208eba9,documentation,"Publicly redistributable report source"
reports/final_report/source/03_methodology.tex,8796,38076c122b0cbc606c480f29866a784240966694ac4413d712589a7cf8483d4c,documentation,"Publicly redistributable report source"
reports/final_report/source/04_pipeline.tex,16017,1442f150a8a53aadbe44c62c934071e6b84745395086fe201610ba2c7382c20b,documentation,"Publicly redistributable report source"
reports/final_report/source/05_iterations.tex,14568,13e993a2a2507f71fc49e4b2a33acc24f8f07b41f6d078b69ad96db1eea07d97,documentation,"Publicly redistributable report source"
reports/final_report/source/06_results.tex,9033,17c168998902516d839b496c6cce8d4e094abaccd948c74b65aadafd2688abbb,documentation,"Publicly redistributable report source"
reports/final_report/source/07_discussion.tex,8171,7151eb11df5aeeaa12eefced8ff0533286971e86e437c3eaff1d7e9e54346d14,documentation,"Publicly redistributable report source"
reports/final_report/source/08_conclusion.tex,908,b6fc17cfd2eadebceb266b50fa9c044853b38a4ddc344849f8847f1addabc0e7,documentation,"Publicly redistributable report source"
reports/final_report/source/09_appendix.tex,13411,fd514b22484f9c4de9924e50e320c422488a82b16502910c675f0aaa38163617,documentation,"Publicly redistributable report source"
reports/final_report/source/main.tex,8726,4cc17f93df4cb4ca0e564137e86f5310323625bf8de4f30a60b4cbc5456564e2,documentation,"Publicly redistributable report source"
src/R/utils.R,1142,405602ff60169980d8a5c5b813a9844880c4e90ea1ad2af3651068aa7fc20c31,code,"Publicly redistributable script"
